Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00019441,Mature,Good,No,,109093.15,4000.6,41.4,1337.7
00052481,Middle aged,Fair,No,,911.59,13.0,1.4,9.2
00007221,Mature,Good,No,,23681.94,749.3,17.0,205.0
00008055,Mature,Good,No,,13962.98,460.9,12.9,301.6
00021465,Mature,Good,No,,31545.36,838.3,18.2,290.1
00021681,Mature,Fair,No,,19661.24,468.7,11.5,390.6
00038978,Middle aged,Fair,No,,3568.15,608.8,13.3,129.5
00006442,Mature,Good,No,,32894.95,1093.3,19.0,605.0
00000309,Middle aged,Dead,No,,2209.39,39.5,2.7,23.5
00026546,Mature,,No,,932.09,18.8,1.7,8.6
00059040,Mature,Good,No,,39278.12,,,
00058586,Juvenile,Good,No,,153.43,,,
00056008,Juvenile,Good,No,,97.09,2.4,0.6,10.3
00018348,Mature,Good,No,,89480.46,2737.2,36.6,1140.5
01100596,Juvenile,Good,No,,115.07,,,
00054645,Juvenile,Good,No,,179.8,0.7,0.3,2.0
00038432,Middle aged,Good,No,,2854.52,70.8,4.6,20.6
00052716,Juvenile,Good,No,,345.22,2.4,0.6,3.5
00010509,Middle aged,Fair,No,,10502.29,370.3,8.7,222.2
00022181,Mature,Fair,No,,22727.74,645.9,13.9,584.0
00046901,Mature,Good,No,,55234.85,1655.6,25.7,145.3
00056667,Juvenile,Good,No,,115.07,1.4,0.4,6.1
00041166,Juvenile,Fair,No,,414.26,8.6,1.2,11.6
00046058,Middle aged,Fair,No,,8699.49,273.8,7.8,182.3
00017881,Mature,Fair,No,,99689.74,4347.7,37.7,1314.1
00027178,Middle aged,Fair,No,,911.59,27.6,2.4,27.3
00056377,Juvenile,Good,No,,179.8,2.8,0.6,9.9
00012299,Mature,Fair,No,,22843.71,846.2,18.3,982.3
00030322,Mature,Fair,No,,39769.1,728.3,12.0,606.9
00058709,Juvenile,Good,No,,153.43,,,
00041709,Juvenile,Fair,No,,524.3,8.6,1.2,9.9
00000225,Mature,Good,No,,46225.75,1258.6,23.1,888.0
00017057,Mature,Good,No,,14828.06,565.5,13.4,361.0
00051821,Juvenile,Good,No,,317.17,2.7,0.7,10.8
00057419,Juvenile,Good,No,,269.7,,,
00017870,Mature,Fair,No,,41943.97,1422.5,22.2,929.0
00001967,Over Mature,Fair,No,,201984.8,5843.5,12.1,1740.4
00016676,Mature,Fair,No,,25253.76,503.8,11.9,218.0
00047707,Middle aged,Fair,No,,621.39,23.1,2.1,37.1
00052544,Middle aged,Fair,No,,1268.68,33.7,2.7,25.2
00015840,Mature,Fair,No,,3371.27,115.7,5.0,69.0
00059237,Juvenile,Fair,No,,873.84,,,
00059140,Juvenile,Good,No,,64.73,,,
00012504,Mature,Fair,No,,23311.92,412.7,9.2,339.7
00059921,Juvenile,Fair,Yes,Unsuitable location,179.8,,,
00054296,Mature,Not applicable,No,,0.0,,,
00058351,Juvenile,Dead,No,,153.43,,,
00000495,Middle aged,Good,No,,2157.61,70.8,4.6,107.4
00054353,Not Applicable,Dead,No,,172.61,,,
00005688,Mature,Good,No,,167.82,10.8,1.9,371.6
00011126,Mature,Good,No,,31905.68,971.5,19.9,517.2
00021647,Mature,Good,No,,107044.5,4370.8,53.8,764.2
00021190,Mature,Good,No,,4565.5,92.2,4.8,85.9
00041158,Middle aged,Fair,No,,1640.86,22.5,1.8,27.3
00054022,Middle aged,Fair,No,,2854.52,90.4,4.7,44.5
00013328,Mature,Good,No,,62535.13,2466.1,34.4,615.5
00021393,Mature,Good,No,,48944.34,660.5,10.8,450.2
00010038,Mature,Good,No,,6472.84,215.6,8.9,276.3
00016409,Mature,Good,No,,11185.06,292.4,9.2,219.6
00057552,Juvenile,Dead,No,,172.61,,,
00059846,Juvenile,Good,No,,179.8,,,
00000652,Mature,Good,No,,19641.82,656.6,15.7,279.7
00059070,Juvenile,Fair,No,,352.41,,,
00004701,Mature,Good,No,,9786.92,187.5,6.2,74.4
00050391,Middle aged,Fair,No,,475.76,5.5,0.9,16.3
00050528,Mature,Good,No,,29028.5,924.4,19.3,427.5
00011271,Middle aged,Good,No,,15534.8,375.7,11.4,258.6
00057889,Juvenile,Good,No,,115.07,,,
00060349,,,No,,,,,
00059839,Juvenile,Good,No,,64.73,,,
00018307,Mature,Good,No,,30931.52,650.3,12.6,347.7
00041426,Mature,Fair,No,,37003.04,1370.6,21.6,415.8
00050682,Middle aged,Good,No,,699.07,2.2,0.6,9.2
00015342,Mature,Good,No,,33899.31,811.4,14.3,406.8
00047448,Middle aged,Fair,No,,2912.78,20.9,1.8,36.2
00039234,Mature,Good,No,,11507.26,260.3,9.2,125.4
00001708,Mature,Good,No,,156600.51,5153.5,29.8,1159.6
00053167,Juvenile,Good,No,,155.35,1.0,0.2,9.5
00054452,Juvenile,Good,No,,422.9,1.0,0.2,3.3
00057505,Mature,Fair,No,,4045.52,113.7,5.0,31.6
00053970,Not Applicable,Good,No,,153.43,2.0,0.6,4.0
00010037,Mature,Good,No,,6235.5,293.5,10.7,240.3
00015845,Mature,Fair,No,,6796.48,156.8,5.3,74.0
00058559,Juvenile,Good,No,,115.07,,,
00013964,Mature,Fair,No,,48944.34,1320.9,21.2,710.1
00000476,Mature,Good,No,,24535.28,554.2,11.5,347.7
00020894,Mature,Good,No,,12531.41,465.5,14.1,203.8
00000479,Mature,Fair,No,,19641.82,426.4,8.8,341.4
00001978,Mature,Good,No,,137492.7,3766.5,42.6,1214.3
00001732,Mature,Good,No,,9845.9,291.7,9.2,395.0
00049642,Juvenile,Fair,No,,783.21,4.3,0.9,3.5
00021961,Mature,Fair,No,,63917.08,2534.5,31.2,615.5
00010342,Middle aged,Good,No,,9422.53,210.7,8.0,44.5
00059488,Mature,Fair,No,,19947.11,,,
00035068,Middle aged,Good,No,,2589.13,79.5,5.0,63.4
00046165,Middle aged,Good,No,,1747.67,62.1,4.3,27.1
00052873,Juvenile,Good,No,,776.74,3.2,0.7,4.5
00045178,Middle aged,Fair,No,,58.25,7.4,1.0,11.6
00057078,Juvenile,Good,No,,153.43,1.4,0.5,8.9
00021329,Mature,Good,No,,51740.6,740.7,11.5,372.1
00037452,Middle aged,Fair,No,,1268.68,33.7,2.7,3.5
00018332,Mature,Fair,No,,16708.54,426.9,10.1,309.6
00005417,Mature,Good,No,,3132.85,84.5,4.7,106.4
00003610,Mature,Fair,No,,16781.42,639.4,13.8,258.6
00048230,Middle aged,Fair,No,,2596.33,23.8,2.0,12.6
00021589,Mature,Fair,No,,51740.6,1411.2,22.1,421.4
