Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00055125,Juvenile,Good,No,,115.07,1.6,0.5,5.7
00059429,Middle aged,Fair,No,,7518.08,,,
00018254,Mature,Fair,No,,20419.63,426.4,8.8,215.2
00027155,Mature,Fair,No,,21447.74,448.3,9.6,379.1
00041326,Juvenile,Good,No,,524.3,9.9,1.4,12.8
00005354,Middle aged,Fair,No,,14619.98,381.9,10.1,223.6
00040482,Middle aged,Good,No,,0.0,,,
00047953,Middle aged,Fair,No,,194.18,4.3,0.8,12.6
00004274,Mature,Fair,No,,16681.57,351.7,7.9,40.2
00003481,Mature,Fair,No,,51740.6,1639.6,24.2,652.3
00051230,Middle aged,Fair,No,,2078.5,33.4,2.4,28.7
00049782,Juvenile,Good,No,,258.91,4.3,0.9,3.5
00049480,Middle aged,Not applicable,No,,2494.19,49.9,3.0,18.9
00058554,Juvenile,Good,No,,115.07,,,
00001738,Mature,Good,No,,47971.79,840.2,14.6,899.0
00011398,Mature,Fair,No,,9692.95,295.9,8.1,85.3
00010503,Middle aged,Fair,No,,1268.68,70.1,4.1,63.4
00010824,Mature,Good,No,,2494.19,32.3,1.8,50.2
00057336,Juvenile,Good,No,,528.62,,,
00011711,Mature,Good,No,,58031.12,1306.5,18.8,559.6
00017355,Mature,Good,No,,35953.35,1382.4,24.4,428.0
00003793,Mature,Good,No,,17873.12,497.3,13.4,327.2
00059602,,,No,,,,,
00017471,Middle aged,Good,No,,10485.99,160.6,4.3,385.5
00050476,Mature,Poor,No,,5825.55,179.1,6.5,60.8
00057509,Juvenile,Good,No,,153.43,,,
00035019,Mature,Fair,No,,6291.6,,,
00053208,Juvenile,Good,No,,783.21,8.4,1.3,23.6
00051161,Juvenile,Good,No,,239.74,2.4,0.6,11.6
00046030,Middle aged,Good,No,,3568.15,35.5,2.5,42.5
00002526,Mature,Fair,No,,18706.49,583.0,13.1,206.7
00007729,Mature,Good,No,,2589.13,67.9,4.1,32.9
00037337,Middle aged,Good,No,,1879.52,22.4,2.1,24.7
00057200,Juvenile,Good,No,,172.61,1.4,0.5,3.2
01100505_1,Juvenile,Good,No,,172.61,,,
00046144,Middle aged,Good,No,,1558.87,54.0,3.9,50.8
00059959,,,No,,,,,
00045122,Mature,Fair,No,,24165.25,950.9,15.9,292.4
00051327,Juvenile,Fair,No,,258.91,2.5,0.6,3.8
00040775,Middle aged,Fair,No,,414.26,7.4,1.0,142.6
00008347,Middle aged,Fair,No,,9398.56,204.0,6.6,182.3
00044760,Juvenile,Poor,No,,138.09,1.1,0.4,4.0
00026239,Middle aged,,No,,6068.29,73.5,3.4,42.5
00008475,Middle aged,Fair,No,,1456.39,39.8,2.9,71.7
00052228,Juvenile,Good,No,,699.07,4.4,0.9,3.5
00021388,Mature,Good,No,,59071.09,1698.5,28.7,539.7
00040293,Middle aged,Fair,No,,233.02,4.3,0.8,21.9
00013518,Middle aged,Good,No,,15534.8,148.1,6.6,340.3
00055782,Juvenile,Good,No,,422.9,2.7,0.7,9.9
00046014,Middle aged,Fair,No,,1585.85,16.2,1.5,34.4
00014606,Mature,Good,No,,14184.62,443.7,12.5,352.2
00014502,Mature,Good,No,,40242.69,1472.2,25.4,929.0
00021575,Mature,Poor,No,,6961.9,449.9,11.2,218.9
00011662,Mature,Fair,No,,5482.49,272.0,9.0,35.1
00017871,Mature,Good,No,,38521.46,1326.3,23.9,929.0
00056659,Juvenile,Good,No,,239.74,2.4,0.6,8.9
00042183,Middle aged,Good,No,,3883.7,67.2,4.1,18.3
00000926,Middle aged,Good,No,,6048.5,78.6,4.4,178.3
00010830,Mature,Good,No,,24535.28,554.2,11.5,162.2
00001051,Mature,Fair,No,,32894.95,625.5,11.0,220.8
00032383,Middle aged,Fair,No,,1093.91,27.6,2.4,44.4
00047912,Middle aged,Good,No,,552.35,5.0,0.9,24.7
00011429,Mature,Fair,No,,14619.98,356.6,8.4,82.5
00018705,Middle aged,Good,No,,10939.1,351.6,10.9,232.8
00004331,Mature,Fair,No,,13592.95,466.7,10.7,145.7
00059841,Juvenile,Good,No,,64.73,,,
00049520,Middle aged,Good,No,,8293.86,160.2,6.9,128.8
00038431,Middle aged,Good,No,,1044.28,16.2,1.8,47.5
00027194,Middle aged,Fair,No,,8293.86,221.4,7.0,146.6
00041282,Middle aged,Fair,No,,1747.67,62.1,3.8,20.6
00059073,Not Applicable,Dead,No,,970.93,,,
00045254,Middle aged,Good,No,,719.2,12.3,1.5,33.7
00045347,Middle aged,Fair,No,,2423.24,54.0,3.2,58.5
00009596,Middle aged,Fair,No,,9786.92,226.5,6.1,29.5
00055390,Middle aged,Fair,No,,345.22,4.7,0.8,12.5
00002551,Mature,Fair,No,,18879.1,406.9,8.6,220.8
00019518,Mature,Fair,No,,132909.95,4741.2,30.2,1578.6
00015492,Mature,Fair,No,,3171.69,67.9,3.7,44.5
00021345,Mature,Fair,No,,21576.12,622.4,15.0,307.2
00010189,Mature,Good,No,,62139.2,1995.1,30.4,938.9
00004857,Mature,Good,No,,13321.09,269.7,7.6,109.0
00059119,Middle aged,Poor,No,,3171.69,,,
00019222,Middle aged,Fair,No,,1268.68,12.8,1.4,31.0
00003365,Mature,Fair,No,,32894.95,1215.1,20.1,205.0
00002375,Mature,Fair,No,,3132.85,86.9,4.3,77.2
00059008,Middle aged,Good,No,,3480.95,,,
00029517,Mature,Fair,No,,24535.28,554.2,10.2,276.7
00052580,Middle aged,Good,No,,1903.01,3.8,0.8,16.3
00015913,Mature,Fair,No,,14020.16,313.9,9.0,81.0
00004747,Mature,Fair,No,,23681.94,406.9,8.6,142.9
00037114,Mature,Fair,No,,2589.13,82.6,4.4,76.0
00011048,Mature,Fair,No,,4838.09,233.7,8.3,161.6
00014409,Middle aged,Fair,No,,7364.65,183.3,6.6,242.2
00007842,Mature,Good,No,,89480.46,3153.2,39.9,1607.8
00059604,,,No,,,,,
00045566,Mature,Good,No,,4495.03,137.7,6.9,216.9
00055547,Juvenile,Good,No,,153.43,0.9,0.3,4.7
00035029,Mature,Good,No,,3171.69,75.6,4.4,30.1
00055281,Juvenile,Good,No,,115.07,1.4,0.4,2.6
00021449,Middle aged,Fair,No,,863.04,12.8,1.3,16.6
00010444,Middle aged,Good,No,,4177.14,92.8,4.9,77.2
00021739,Mature,Good,No,,9515.06,489.5,14.3,199.5
00042041,Middle aged,Good,No,,1380.87,,,
00003371,Mature,Good,No,,18262.02,506.7,13.5,229.1
00038317,Mature,Fair,No,,2854.52,76.3,3.9,25.4
00034223,Middle aged,Good,No,,469.88,5.4,1.0,11.6
00040323,Juvenile,Fair,No,,161.82,2.7,0.6,9.9
00030321,Mature,Good,No,,44740.23,1058.6,16.7,450.6
00048604,Juvenile,Good,No,,414.26,4.3,0.9,21.9
00027226,Mature,Fair,No,,9692.95,334.0,8.8,142.9
00012165,Mature,Good,No,,5523.49,215.6,8.9,82.4
00020462,Middle aged,Good,No,,6041.31,182.9,7.0,76.2
00054748,Middle aged,Fair,No,,783.21,16.0,1.6,14.4
00051940,Middle aged,Fair,No,,475.76,2.3,0.5,2.8
00037959,Middle aged,Good,No,,1747.67,62.1,4.3,67.7
00041672,Juvenile,Fair,No,,233.02,,,
00016395,Mature,Fair,No,,4177.14,83.6,4.2,31.6
00054621,Middle aged,Fair,No,,3145.8,81.1,3.6,42.5
00001386,Mature,Fair,No,,11283.82,345.2,9.6,173.0
00047467,Juvenile,Fair,No,,3916.07,69.9,3.8,173.8
00015596,Juvenile,Good,No,,5505.15,87.1,4.0,109.0
00003574,Mature,Fair,No,,7759.73,187.3,6.7,128.8
00045009,Mature,Good,No,,1553.48,5.2,0.1,50.0
00002789,Middle aged,Good,No,,2336.69,52.8,4.1,71.1
00019272,Mature,Fair,No,,30931.52,1169.3,19.7,220.8
00004230,Mature,Good,No,,41352.78,1399.8,24.6,594.5
00052328,Juvenile,Good,No,,613.72,3.4,0.8,14.6
00040434,Middle aged,Good,No,,5443.66,198.5,8.4,149.5
00053019,Mature,Fair,No,,12583.19,224.1,6.4,187.6
00041164,Juvenile,Fair,No,,414.26,7.5,1.0,13.7
00058653,Mature,Good,No,,14768.85,,,
00047463,Middle aged,Good,No,,2621.5,35.9,2.9,41.2
00020524,Mature,Fair,No,,8285.23,169.1,5.4,83.0
00030330,Mature,Fair,No,,10904.57,213.0,5.9,277.7
00013384,Mature,Fair,No,,30931.52,755.4,12.2,112.6
00052018,Juvenile,Good,No,,460.29,2.4,0.6,8.6
00052489,Middle aged,Good,No,,2854.52,61.4,4.3,82.4
00045065,Middle aged,Fair,No,,503.44,7.4,1.0,37.1
00013828,Middle aged,Good,No,,11223.89,221.2,7.3,356.1
00038244,Juvenile,Good,No,,271.85,1.4,0.5,8.9
00011688,Mature,Fair,No,,16781.42,653.9,13.0,368.2
00048222,Mature,Good,No,,850.82,14.4,1.6,47.5
00005211,Mature,Fair,No,,4233.95,182.2,7.1,122.4
00012521,Mature,Fair,No,,1294.57,40.7,2.9,29.3
00006666,Mature,Good,No,,36463.63,1387.2,24.4,575.4
00040439,Middle aged,Good,No,,1035.65,14.5,1.8,19.1
00032710,Middle aged,Fair,No,,3068.6,32.7,2.5,66.7
00018848,Mature,Good,No,,87626.0,2765.2,36.9,722.4
00002445,Mature,Fair,No,,15224.1,347.4,9.6,232.1
00006512,Middle aged,Fair,No,,10904.57,326.5,9.3,294.9
00004422,Mature,Fair,No,,29028.5,675.8,11.5,416.8
00056738,Juvenile,Good,No,,1941.85,6.4,1.0,35.2
00044803,Middle aged,Good,No,,3452.18,39.5,3.0,39.3
00012232,Mature,Good,No,,24535.28,849.1,18.2,240.3
00056301,Middle aged,Dead,No,,1553.48,,,
00003267,Middle aged,Good,No,,11683.47,236.4,8.6,305.7
00002072,Mature,Fair,No,,12411.54,425.3,10.0,74.4
00038437,Juvenile,Fair,No,,1456.39,39.8,2.9,29.3
00013181,Mature,Fair,No,,8729.69,142.1,4.7,49.3
00053800,Juvenile,Good,No,,179.8,2.4,0.6,3.8
00000514,Middle aged,Good,No,,6804.57,103.7,4.4,164.9
00054552,Mature,Fair,No,,2589.13,65.8,3.6,31.6
00026422,Mature,,No,,2330.22,,,
00035069,Middle aged,Good,No,,3646.36,79.5,5.0,71.1
00023622,Mature,Fair,No,,6628.18,252.3,8.6,144.4
00004322,Mature,Fair,No,,73489.32,2340.7,29.8,439.6
00001592,Mature,Good,No,,26287.8,801.4,17.8,471.2
00059512,Juvenile,Fair,No,,179.8,,,
00013249,Middle aged,Good,No,,2589.13,79.5,5.0,47.5
00011765,Mature,Good,No,,25253.76,749.8,18.5,285.4
00000882,Mature,Good,No,,30132.72,1067.0,17.6,189.8
00010694,Mature,Poor,No,,16681.57,301.0,7.2,15.9
00022275,Middle aged,Good,No,,7281.95,122.0,4.8,277.7
00001298,Middle aged,Good,No,,15534.8,273.7,8.1,183.5
00049611,Middle aged,Good,No,,436.92,2.4,0.6,12.6
00055661,Juvenile,Good,No,,153.43,1.8,0.5,3.7
00059689,Not Applicable,Not applicable,No,,2022.76,,,
00038977,Middle aged,Good,No,,776.74,22.7,2.4,29.6
00048171,Middle aged,Good,No,,1093.91,14.5,1.8,29.6
00040692,Middle aged,Fair,No,,719.2,12.5,1.4,11.6
00014136,Middle aged,Fair,No,,4838.8,139.1,5.6,89.8
00002905,Middle aged,Fair,No,,5834.18,136.2,5.3,76.3
00012941,Mature,Good,No,,5834.18,105.9,5.3,35.1
00004120,Mature,Fair,No,,14203.79,460.0,10.5,346.7
00034438,Not Applicable,Good,No,,0.0,,,
00019580,Mature,Good,No,,41021.59,675.8,12.9,783.1
00054020,Not Applicable,Fair,No,,269.7,2.4,0.5,9.9
00006060,Mature,Fair,No,,10209.82,336.4,9.4,60.8
00059894,Juvenile,Good,No,,179.8,,,
00055245,Juvenile,Good,No,,161.82,1.4,0.5,3.5
00018184,Middle aged,Fair,No,,8222.9,245.4,7.8,107.4
00056375,Juvenile,Good,No,,269.7,1.8,0.4,12.5
00006128,Middle aged,Fair,No,,1044.28,7.4,1.1,11.6
00059194,Juvenile,Good,No,,179.8,,,
00022424,Mature,Fair,No,,15787.96,986.7,19.2,157.7
00020931,Middle aged,Fair,No,,10572.3,257.0,8.1,206.7
00019622,Mature,Good,No,,6265.7,272.0,10.1,60.8
00021668,Mature,Fair,No,,103005.45,3673.6,37.3,747.4
00022403,Mature,Good,No,,6911.55,233.7,9.4,118.6
00018469,Middle aged,Good,No,,1691.57,33.6,2.7,53.6
00012263,Mature,Good,No,,34953.31,592.4,12.8,494.4
00051346,Mature,Good,No,,12462.37,283.4,9.0,238.6
00014559,Mature,Good,No,,22020.58,749.3,17.0,258.9
00051740,Juvenile,Good,No,,242.73,1.8,0.4,12.5
00047034,Juvenile,Good,No,,388.37,3.7,0.8,10.3
00014630,Mature,Fair,No,,6350.93,112.6,4.1,234.2
00049631,Middle aged,Good,No,,783.21,18.7,2.1,64.1
00046579,Middle aged,Good,No,,932.09,23.1,2.4,12.6
00010455,Mature,Good,No,,21755.92,639.4,15.5,327.2
00014255,Middle aged,Good,No,,1941.85,16.2,1.6,29.3
00057897,Juvenile,Good,No,,172.61,,,
00022360,Mature,Good,No,,4315.22,65.4,3.6,74.0
00046164,Middle aged,Fair,No,,1747.67,62.1,3.8,40.5
00002605,Mature,Good,No,,42477.98,1702.4,27.6,679.3
00019117,Mature,Fair,No,,85790.95,2968.7,34.2,1161.6
00003110,Mature,Fair,No,,5469.54,136.5,5.6,278.2
00006181,Mature,Fair,No,,44895.58,840.2,13.0,444.5
00000155,Middle aged,Fair,No,,3383.14,74.8,3.9,59.5
00056834,Middle aged,Fair,No,,1398.13,6.2,1.0,41.8
00059023,Juvenile,Fair,No,,4757.54,,,
00059549,,,No,,,,,
00013875,Middle aged,Fair,No,,4375.64,124.9,5.3,50.1
00038684,Middle aged,Good,No,,2610.71,101.3,5.7,29.5
00056571,Juvenile,Good,No,,179.8,1.5,0.5,3.3
00056325,Not Applicable,Fair,No,,0.0,,,
00010767,Mature,Good,No,,5993.37,125.1,5.8,119.3
00019282,Mature,Good,No,,23681.94,772.2,17.3,278.2
00007497,Middle aged,Fair,No,,3452.18,,,
00041006,Mature,Fair,No,,0.0,,,
00006721,Mature,Fair,No,,32894.95,1242.6,20.4,470.7
00027322,Middle aged,Good,No,,13962.98,378.5,9.9,236.0
00045152,Juvenile,Good,No,,783.21,18.7,2.1,47.5
00017317,Mature,Good,No,,11076.63,301.4,9.9,31.7
00051354,Middle aged,Good,No,,786.46,10.1,1.3,51.5
00022135,Mature,Good,No,,20227.61,645.9,15.6,499.6
00059830,Middle aged,Good,No,,15577.96,,,
00015828,Middle aged,Good,No,,7612.06,165.3,7.4,16.5
00014182,Juvenile,Good,No,,64.73,0.7,0.3,4.1
00021972,Mature,Good,No,,27185.9,577.4,11.8,416.8
00047061,Middle aged,Fair,No,,1691.57,15.7,1.6,11.6
00002156,Mature,Fair,No,,6651.2,314.6,9.6,136.8
00051797,Middle aged,Fair,No,,2097.2,,,
00014946,Mature,Fair,No,,14965.19,513.1,9.2,291.0
00045574,Juvenile,Good,No,,161.82,2.4,0.6,2.6
00054926,Juvenile,Good,No,,345.22,3.2,0.7,11.2
00013415,Juvenile,Good,No,,2338.31,14.1,1.4,37.0
00037178,Middle aged,Good,No,,4280.17,41.6,2.6,34.2
00018683,Mature,Fair,No,,18733.1,1215.4,21.7,39.3
00038302,Mature,Fair,No,,10385.3,386.0,11.2,406.2
00050829,Middle aged,Good,No,,776.74,2.1,0.6,4.5
00032598,Middle aged,Good,No,,1657.04,20.2,2.1,10.7
00058443,Juvenile,Good,No,,153.43,,,
00007611,Mature,Good,No,,2378.77,60.1,3.9,37.9
00001620,Middle aged,Fair,No,,3480.95,68.7,3.6,85.9
00002168,Mature,Fair,No,,16708.54,453.6,11.3,319.3
00042207,Middle aged,Good,No,,2920.87,17.0,1.6,4.5
00050211,Juvenile,Good,No,,469.88,6.9,1.1,24.7
00010803,Mature,Good,No,,34241.3,725.2,10.8,427.1
00016088,Mature,Good,No,,17459.39,549.1,10.7,357.9
00048093,Middle aged,Good,No,,524.3,9.6,1.3,3.0
00059250,Not Applicable,Dead,No,,0.0,,,
00051104,Juvenile,Fair,No,,161.82,0.8,0.3,3.5
00045080,Mature,Good,No,,4641.26,,,
00003682,Mature,Good,No,,42468.27,1891.9,29.4,384.9
00008702,Middle aged,Fair,No,,3568.15,52.6,2.7,76.2
00026287,Mature,Fair,No,,4045.52,,,
00050477,Middle aged,Fair,No,,3452.18,46.9,2.5,162.2
00005880,Mature,Fair,No,,39147.71,1522.8,23.1,381.7
00004757,Mature,Fair,No,,29930.38,840.2,13.0,399.6
00013872,Mature,Good,No,,71492.45,2159.1,26.5,1507.6
00008297,Middle aged,Good,No,,539.4,14.5,1.8,11.8
00056372,Juvenile,Good,No,,179.8,2.4,0.6,10.7
00040768,Middle aged,Good,No,,414.26,7.5,1.2,27.3
00017794,Mature,Fair,No,,12995.54,412.2,10.6,256.4
00005484,Mature,Good,No,,28040.32,840.8,16.7,442.7
00032131,Mature,Fair,No,,10740.11,362.7,9.2,151.2
00050023,Middle aged,Good,No,,1268.68,33.7,3.0,41.8
00008633,Over Mature,Fair,No,,19573.85,702.2,14.6,619.9
00037677,Juvenile,Good,No,,2589.13,80.3,5.0,60.8
00013155,Middle aged,Fair,No,,911.59,19.1,1.8,33.7
00056078,Juvenile,Good,No,,115.07,1.4,0.5,9.9
00051735,Mature,Fair,No,,66281.82,2874.0,33.6,752.0
00021710,Mature,Good,No,,43584.83,1304.7,23.6,982.3
00000027,Mature,Good,No,,13808.71,96.3,5.0,347.7
00021776,Mature,Good,No,,17268.09,563.2,11.7,321.7
00001942,Over Mature,Good,No,,23302.21,951.2,17.4,122.4
00013044,Mature,Good,No,,25403.72,889.9,18.8,76.4
00056097,Juvenile,Fair,No,,172.61,1.3,0.4,7.4
00011709,Mature,Fair,No,,1044.28,15.5,1.6,52.4
00005519,Mature,Good,No,,11223.89,163.9,5.7,220.8
00007065,Mature,Good,No,,11968.27,523.5,15.1,240.3
00000976,Mature,Fair,No,,39769.1,865.8,16.6,460.3
00043610,Juvenile,Good,No,,475.76,5.3,0.9,19.4
00042121,Middle aged,Good,No,,1747.67,24.7,2.3,68.6
00010435,Mature,Good,No,,19884.55,558.8,13.3,395.9
00046772,Middle aged,Good,No,,524.3,4.2,0.8,3.3
00008104,Middle aged,Good,No,,7364.65,222.5,7.8,135.0
00007846,Mature,Good,No,,215555.09,5791.6,14.3,1057.0
00057547,Juvenile,Good,No,,,,,
00059641,Juvenile,Good,No,,10.79,,,
00054859,Juvenile,Fair,No,,469.88,5.3,0.8,9.9
00044586,Mature,Good,No,,13696.52,611.0,16.3,308.3
00041244,Juvenile,Good,No,,179.8,2.4,0.6,8.6
00013054,Mature,Good,No,,24535.28,853.4,18.3,111.9
00021777,Middle aged,Good,No,,12306.48,321.5,10.4,301.6
00049327,Middle aged,Fair,No,,870.23,16.2,1.6,10.7
00000233,Middle aged,Poor,No,,1879.52,33.6,2.4,33.1
00041940,Middle aged,Fair,No,,911.59,28.1,2.4,47.5
00004246,Mature,Fair,No,,31101.97,1093.3,19.0,794.9
00009718,Mature,Fair,No,,14767.78,226.5,6.1,164.9
00002367,Mature,Good,No,,15664.26,383.2,10.0,240.7
00003196,Middle aged,Fair,No,,6766.27,166.3,5.9,151.2
00035025,Mature,Fair,No,,652.67,15.7,1.6,9.9
00039145,Juvenile,Good,No,,613.72,3.4,0.8,14.6
00055516,Middle aged,Good,No,,2796.26,64.0,3.9,151.0
00042381,Middle aged,Fair,No,,13126.91,199.9,6.6,242.2
00054970,Juvenile,Good,No,,242.73,1.8,0.4,12.5
00055247,Juvenile,Good,No,,103.57,1.4,0.5,3.5
00048730,Middle aged,Fair,No,,2209.39,13.4,1.7,9.2
00054994,Middle aged,Good,No,,2378.77,39.2,3.3,29.6
00020855,Mature,Fair,No,,6068.29,110.1,4.4,228.9
00053670,Juvenile,Good,No,,179.8,2.4,0.6,8.6
00057612,Not Applicable,Not applicable,No,,0.0,,,
00031899,Middle aged,Fair,No,,863.04,12.8,1.4,41.8
00008740,Mature,Fair,No,,9976.79,231.7,7.6,133.2
00012162,Mature,Good,No,,17459.39,759.4,14.1,339.9
00047053,Middle aged,Fair,No,,1305.35,9.3,1.1,12.6
00012487,Mature,Poor,No,,24535.28,519.8,10.5,473.4
00018995,Mature,Fair,No,,34521.78,712.7,17.8,386.3
00007337,Mature,Fair,No,,11486.04,226.5,6.1,297.6
00004817,Middle aged,Good,No,,9397.59,273.6,9.4,216.4
00003171,Middle aged,Fair,No,,5834.18,144.2,5.5,272.4
00056609,Middle aged,Good,No,,19884.55,631.7,12.6,294.3
00018736,Mature,Good,No,,27185.9,923.6,19.2,101.1
00004659,Middle aged,Fair,No,,9692.95,196.6,6.5,76.2
00015095,Mature,Good,No,,7482.59,292.5,10.6,232.8
00006761,Mature,Fair,No,,22843.71,687.0,14.5,517.2
00042114,Middle aged,Fair,No,,1870.64,54.0,3.5,12.6
00051490,Middle aged,Good,No,,3806.03,53.1,3.6,77.2
00000799,Middle aged,Good,No,,8457.84,154.3,6.7,135.6
00018789,Juvenile,Good,No,,239.74,3.2,0.7,11.2
00015583,Mature,Fair,No,,8293.86,204.0,6.6,182.3
00022531,Middle aged,Good,No,,12694.3,254.8,7.4,347.7
00014219,Mature,Fair,No,,18879.1,491.8,11.8,275.3
00049610,Juvenile,Good,No,,436.92,2.4,0.6,12.6
00049177,Mature,Good,No,,1456.39,33.0,2.7,57.8
00052659,Juvenile,Good,No,,233.02,4.3,0.9,3.5
00054368,Juvenile,Good,No,,188.79,1.8,0.4,4.5
00011536,Mature,Good,No,,11840.97,378.8,10.6,319.9
00044758,Middle aged,Good,No,,1564.99,18.7,2.1,47.5
00002332,Mature,Good,No,,46987.98,,,
00006883,Middle aged,Good,No,,8738.33,208.0,8.7,113.9
00001950,Mature,Good,No,,62535.13,2737.2,36.6,301.6
00007535,Mature,Fair,No,,10209.82,,,
00003236,Mature,Good,No,,24535.28,799.0,17.7,250.7
00014200,Middle aged,Good,No,,2078.5,46.1,3.3,12.8
00012687,Mature,Fair,No,,19641.82,880.9,16.6,87.5
00026562,Middle aged,Good,No,,7832.13,245.7,8.3,344.6
00002713,Veteran,Fair,No,,21212.55,466.9,9.3,167.0
00050481,Middle aged,Good,No,,4794.7,127.5,5.1,85.9
00001065,Mature,Good,No,,5825.55,149.3,6.5,66.8
00006687,Mature,Good,No,,25891.34,1070.1,21.1,356.1
00017864,Mature,Good,No,,31545.36,988.5,20.2,1057.0
00013295,Mature,Fair,No,,21212.55,334.3,7.7,190.5
00004647,Mature,Fair,No,,7759.73,229.9,7.1,56.0
00034468,Middle aged,Good,No,,1367.39,17.0,1.6,69.1
00060314,,,No,,,,,
00059357,Mature,Fair,No,,67125.69,,,
00004975,Mature,Good,No,,27065.08,717.3,15.2,445.2
00028076,Mature,Fair,No,,1657.04,48.9,3.2,76.0
00058341,Middle aged,Good,No,,3117.74,,,
00053501,,,No,,,,,
00021306,Middle aged,Good,No,,5834.18,114.1,5.4,119.3
00018523,Mature,Good,No,,14767.78,243.9,7.5,140.0
00003135,Mature,Fair,No,,27185.9,531.6,10.0,220.8
00059530,Juvenile,Good,No,,1841.16,,,
00051780,Juvenile,Good,No,,161.82,2.7,0.7,3.5
00005252,Mature,Fair,No,,3521.23,101.3,5.1,55.0
00049513,Mature,Good,No,,37159.46,2031.1,30.5,241.6
00041137,Middle aged,Fair,No,,1398.13,18.9,1.6,44.4
00004009,Mature,Good,No,,25166.38,608.9,13.8,422.2
00022026,Mature,Good,No,,4177.14,82.8,4.6,16.6
00022593,Mature,Fair,No,,8699.49,273.5,8.3,18.3
00018556,Mature,Good,No,,87626.0,3046.7,39.2,1788.6
00027483,Mature,Fair,No,,539.4,12.5,1.4,142.6
00037154,Middle aged,Good,No,,4281.79,49.1,3.8,37.0
00034246,Middle aged,Good,No,,647.28,12.8,1.6,12.8
00044806,Middle aged,Good,No,,783.21,7.5,1.2,3.0
00044799,Middle aged,Good,No,,6904.36,119.0,5.5,74.4
00058173,Juvenile,Good,No,,153.43,,,
00034278,Mature,Good,No,,6014.46,157.0,6.7,50.8
00049179,Middle aged,Fair,No,,524.3,9.8,1.2,21.9
00053423,Juvenile,Good,No,,258.91,4.3,0.9,12.6
00018567,Mature,Good,No,,75516.4,2883.8,37.8,605.0
00013349,Mature,Fair,No,,23336.73,674.9,13.2,504.0
00059374,Juvenile,Good,No,,179.8,,,
00010810,Mature,Good,No,,93247.65,3994.8,51.0,627.8
00027127,Mature,Good,No,,4233.95,198.5,8.4,101.5
00057209,Juvenile,Good,No,,179.8,2.7,0.7,9.3
00013992,Middle aged,Good,No,,19884.55,476.5,11.6,438.7
00054218,Not Applicable,Good,No,,115.07,1.4,0.5,3.6
00010407,Mature,Fair,No,,13962.98,269.7,6.8,324.4
00056526,Mature,Poor,No,,6482.42,2.1,0.5,11.3
00057748,Juvenile,Good,No,,239.74,,,
00017212,Middle aged,Good,No,,6911.55,166.3,6.7,151.2
00002198,Mature,Good,No,,18134.72,197.6,5.1,265.9
00012525,Middle aged,Fair,No,,1458.54,20.2,1.8,12.6
00022377,Mature,Fair,No,,5394.03,134.9,5.3,263.0
01100529_1,Juvenile,Good,No,,172.61,,,
00048801,Juvenile,Good,No,,64.73,0.8,0.4,3.2
00059540,Juvenile,Fair,No,,64.73,,,
00019090,Mature,Fair,No,,2220.19,74.0,3.9,17.3
00054376,Juvenile,Good,No,,188.79,1.8,0.4,4.5
00054715,Middle aged,Good,No,,1035.65,13.6,1.7,41.8
00017880,Mature,Fair,No,,62657.04,1295.1,21.0,961.8
00016105,Middle aged,Good,No,,13808.71,394.3,10.9,101.2
00049477,Middle aged,Good,No,,1458.54,29.5,2.5,8.2
00031959,Mature,Good,No,,3424.13,112.1,6.1,63.4
00005617,Middle aged,Fair,No,,5834.18,127.9,5.2,244.0
00031893,Middle aged,Good,No,,5136.19,69.9,4.2,68.0
00028893,Mature,Fair,No,,4854.63,215.6,8.0,82.4
00053823,Juvenile,Good,No,,161.82,1.4,0.5,2.6
00055836,Juvenile,Good,No,,970.93,1.2,0.4,1.0
00050589,Juvenile,Good,No,,215.76,2.4,0.7,4.5
00000480,Mature,Fair,No,,7257.13,131.8,4.5,244.0
01100228,Juvenile,Good,No,,153.43,,,
00045507,Middle aged,Fair,No,,958.94,3.0,0.4,11.8
00017080,Mature,Good,No,,18879.1,629.4,15.3,353.8
00026971,Middle aged,Good,No,,15979.27,518.3,13.7,376.5
00051388,Juvenile,Good,No,,469.88,1.8,0.5,3.7
00022101,Mature,Fair,No,,28099.65,1009.7,18.0,225.4
00041211,Middle aged,Fair,No,,3171.69,55.6,3.3,68.0
00031727,Mature,Fair,No,,5262.66,183.5,6.4,64.8
00000053,Mature,Fair,No,,9746.65,419.5,10.8,126.4
00038023,Mature,Good,No,,349.54,9.9,1.4,64.1
00027506,Mature,Fair,No,,9845.18,240.4,6.3,40.2
00059369,,,No,,,,,
00057822,Juvenile,Good,No,,172.61,,,
00044820,Middle aged,Good,No,,719.2,10.2,1.3,11.6
00032535,Middle aged,Good,No,,2610.71,61.1,4.4,63.4
00037329,Middle aged,Good,No,,932.09,19.9,2.0,24.8
00011164,Mature,Good,No,,14020.16,285.5,8.4,402.2
00018326,Middle aged,Good,No,,3883.7,46.9,2.8,40.2
00050787,Middle aged,Good,No,,3132.85,101.3,5.7,81.0
00012649,Mature,Fair,No,,21212.55,622.7,13.5,111.9
00002728,Mature,Good,No,,220278.64,5946.1,11.2,3792.6
